Alexsandro alexsandro
Leo leo
era ser
um um
cobrador cobrador
muito muito
querido querer
da de_o
Metrópoles metrópole
. .
Ele ele
tomou tomar
as o
1as 1as
. .
Doses dose
em em
2021 @card@
e e
os o
reforços reforço
no em_o
primeiro primeiro
trimestre trimestre
de de
2022 @card@
. .
Teve ter
um um
infarto infarto
fulminante fulminante
pouco pouco
tempo tempo
depois depois
do de_o
experimento experimento
. .
A o
OMS oms
e e
a o
ANVISA anvisa
já já
divulgaram divulgar
o o
risco risco
de de
problemas problema
cardíacos cardíaco
pós-experimento pós-experimento
. .
https://t.co/DCHgRKlsLs https://t.co/dchgrklsls
