Aline aline
tomou tomar
a o
2ª 2ª
dose dose
, ,
e e
1 1
mês mês
depois depois
começou começar
a a
sentir sentir
dores dor
nos em_o
pés pé
e e
pernas perna
, ,
até até
que que
um um
dia dia
não não
tinha ter
forças força
nas em_o
pernas perna
nem nem
para para
ficar ficar
em em
pé pé
! !
Foram ser
muitos muito
exames exame
até até
o o
diagnóstico diagnóstico
: :
Mielite mielite
Transversa transverso
autoimune autoimune
, ,
1 1
inflamação inflamação
na em_o
medula medula
espinhal espinhal
. .
Depoimento depoimento
da de_o
mãe mãe
: :
oscasosraros oscasosraro
https://t.co/e2M4uE4qXu https://t.co/e2m4ue4qxu
