Paulo paulo
tinha ter
apenas apenas
16 16
anos ano
e e
foi ser
encontrado encontrar
morto morrer
em em
sua seu
cama cama
. .
Segundo segundo
apuramos apuramos
, ,
tomou tomar
a o
dose dose
de de
reforço reforço
há haver
pouco pouco
mais mais
de de
4 4
meses mês
. .
Estudos estudo
indicam indicar
que que
os o
Infartos infarto
e e
AVCs avcs
provocados provocar
pelo por_o
experimento experimento
ocorrem ocorrer
entre entre
5 5
a a
8 8
meses mês
após após
as o
doses dose
. .
Fonte fonte
: :
stevekirsch stevekirsch
. .
substack substack
. .
com com
/ /
p p
/ /
this-one-gra this-one-gra
… …
https://t.co/qHr8mKkPYE https://t.co/qhr8mkkpye
