Caio caio
era ser
um um
jovem jovem
de de
16 16
anos ano
de de
Nova nova
Venécia venécia
. .
1a 1a
. .
Dose dose
em em
2021 @card@
e e
reforço reforço
há haver
poucas pouco
semanas semana
. .
Teve ter
um um
infarto infarto
fulminante fulminante
em em
16 16
/ /
07 @card@
. .
A o
OMS oms
confirma confirmar
a o
relação relação
entre entre
o o
experimento experimento
e e
Infartos infarto
em em
decorrência decorrência
da de_o
reações reação
previstas prever
na em_o
Bula bula
( (
Miocardite miocardite
) )
. .
Fonte fonte
: :
uol uol
. .
com com
. .
br br
/ /
vivabem vivabem
/ /
notici notici
… …
https://t.co/kaQC0VsLG6 https://t.co/kaqc0vslg6
