Temos ter
2 2
formas forma
de de
enfrentar enfrentar
a o
PANDEMIA pandemia
: :
Prevenindo prevenir
e e
Tratando tratar
1° 1°
) )
PREVENINDO prevenir
- -
VACINAS vacina
, ,
lavagem lavagem
da de_o
mão mão
, ,
álcool álcool
em em
gel gel
, ,
máscara máscara
, ,
NÃO não
aglomerar aglomerar
, ,
distanciamento distanciamento
social social
e e
IVERMECTINA ivermectina
2° 2°
) )
TRATAMENTO tratamento
- -
Tratar tratar
precocemente precocemente
os o
doentes doente
com com
Hidroxicloroquina hidroxicloroquina
+ +
Ivermectina ivermectina
+ +
Azitromicina azitromicina
