Mais mais
jovens jovem
falecendo falecer
por por
infartos infarto
e e
males mal
Súbitos súbito
. .
É ser
importante importante
lembrar lembrar
que que
a o
pesquisa pesquisa
científica científico
da de_o
@CMAJ twitterhandle
, ,
publicada publicar
nesta em_este
semana semana
, ,
indicou indicar
q q
o o
risco risco
d d
problemas problema
cardíacos cardíaco
é ser
d d
100 100
p p
/ /
cada cada
100mil 100mil
doses dose
. .
É ser
duro duro
saber saber
que que
estes este
morreram morrer
p p
/ /
q q
alguns algum
se se
sentissem sentir
seguros seguro
. .
. .
. .
https://t.co/xFSmndVjej https://t.co/xfsmndvjej
