Ilson ilson
Baiano baiano
foi ser
candidato candidato
a a
prefeito prefeito
d d
Coelho coelho
Neto neto
. .
Tomou tomar
a o
1a 1a
. .
dose dose
em em
05 @card@
/ /
21 21
a a
2a 2a
. .
em em
08 @card@
/ /
21 21
e e
os o
reforços reforço
em em
2022 @card@
. .
Teve ter
um um
infarto infarto
fulminante fulminante
neste em_este
13 13
/ /
08 @card@
/ /
22 22
, ,
exatamente exatamente
um um
ano ano
após após
a o
2a 2a
. .
da de_o
Astra astra
. .
A o
OMS oms
já já
alertou alertar
sobre sobre
os o
riscos risco
de de
problemas problema
cardíacos cardíaco
pós-experimento pós-experimento
. .
Segue seguir
. .
. .
. .
https://t.co/shuzq4xhsQ https://t.co/shuzq4xhsq
