Acute acute
Abducens abducens
nerve nerve
palsy palsy
following following
vaccination vaccination
: :
pubmed pubmed
. .
ncbi ncbi
. .
nlm nlm
. .
nih nih
. .
gov gov
/ /
34827043 @card@
/ /
21yoF 21yof
nurse nurse
with with
Bells bells
Palsy palsy
following following
Pfizer pfizer
: :
pubmed pubmed
. .
ncbi ncbi
. .
nlm nlm
. .
nih nih
. .
gov gov
/ /
34322761 @card@
/ /
34yoF 34yof
with with
Bells bells
Palsy palsy
2 2
days days
after after
Moderna moderna
: :
ncbi ncbi
. .
nlm nlm
. .
nih nih
. .
gov gov
/ /
pmc pmc
/ /
articles articles
/ /
P p
… …
