Maria maria
Elena elena
tomou tomar
a o
4a 4a
. .
Dose dose
no em_o
dia dia
01 @card@
/ /
08 @card@
/ /
22 22
, ,
num em_um
hospital hospital
do de_o
Chile chile
e e
no em_o
dia dia
seguinte seguinte
postou postar
no em_o
Face face
que que
não não
estava estar
bem bem
por por
conta conta
da de_o
Moderna moderna
. .
Faleceu falecer
d d
mal mal
súbito súbito
( (
aneurisma aneurisma
) )
no em_o
dia dia
04 @card@
/ /
08 @card@
/ /
22 22
. .
Existem existir
estudos estudo
da de_o
OMS oms
que que
indicam indicar
o o
risco risco
d d
aneurisma aneurisma
pós-experimento pós-experimento
Segue seguir
fontes fonte
. .
https://t.co/Ow6LTAgbke https://t.co/ow6ltagbke
