Foram ser
muitos muito
exames exame
até até
o o
diagnóstico diagnóstico
: :
Mielite mielite
Transversa transverso
autoimune autoimune
, ,
uma um
inflamação inflamação
na em_o
medula medula
espinhal espinhal
. .
Recebeu receber
tratamento tratamento
com com
imunoglobulina imunoglobulina
, ,
e e
a o
família família
precisou precisar
lutar lutar
pra pra
que que
o o
Estado estado
fornecesse fornecer
. .
A a
Vigilância vigilância
Sanitária sanitária
notificou notificar
como como
evento evento
adverso adverso
da de_o
vacina vacina
em em
investigação investigação
. .
https://t.co/JSiw3VreAA https://t.co/jsiw3vreaa
