Vacinado vacinar
c c
/ /
4 4
doses dose
, ,
Eric eric
Gustavo gustavo
, ,
32 32
, ,
contraiu contrair
CV cv
! !
D d
várias várias
vezes vez
. .
Estava estar
de de
alta alta
hospitalar hospitalar
, ,
qd qd
sofreu sofrer
uma um
parada parada
cardíaca cardíaco
enquanto enquanto
dormia dormir
. .
Pesquisas pesquisa
indicam indicar
que que
a o
eficácia eficácia
do de_o
experimento experimento
é ser
negativa negativo
após após
reforços reforço
. .
Fonte fonte
: :
m m
. .
facebook facebook
. .
com com
/ /
story story
. .
php php
? ?
stor stor
… …
virologyj virologyj
. .
biomedcentral biomedcentral
. .
com com
/ /
articles articles
/ /
10 10
. .
11 11
… …
https://t.co/LNmjcR8jbF https://t.co/lnmjcr8jbf
