Quando quando
os o
estudos estudo
sugeriam sugerir
a o
eficácia eficácia
de de
remédios remédio
no em_o
tratamento tratamento
da de_o
covid covid
a o
imprensa imprensa
vociferou vociferar
questionamentos questionamento
sobre sobre
o o
nível nível
de de
comprovação comprovação
científica científico
de de
tais tal
estudos estudo
. .
Agora agora
que que
se se
trata tratar
dos de_o
efeitos efeito
colaterais colateral
das de_o
vacinas vacina
, ,
qualquer qualquer
estudo estudo
serve servir
para para
driblar driblar
a o
realidade realidade
. .
Cínicos cínico
! !
https://t.co/YoQTiDiFKG https://t.co/yoqtidifkg
