Estão estar
submetendo submeter
jovens jovem
saudáveis saudável
aos a_o
riscos risco
de de
efeitos efeito
adversos adverso
de de
uma um
vacina vacina
que que
não não
evita evitar
o o
contágio contágio
de de
um um
vírus vírus
que que
não não
representa representar
risco risco
significativo significativo
à a_o
vida vida
deles de_eles
, ,
e e
se se
isso isso
já já
não não
fosse ser
suficientemente suficientemente
injustificável injustificável
, ,
querem querer
aplicar aplicar
estas este
vacinas vacina
em em
crianças criança
! !
