Defender defender
o o
tratamento tratamento
precoce precoce
é ser
crime crime
pois pois
não não
há haver
estudos estudo
científicos científico
comprovando comprovar
a o
eficácia eficácia
dos de_o
medicamentos medicamento
, ,
mas mas
questionar questionar
a o
obrigatoriedade obrigatoriedade
de de
máscaras máscara
, ,
lockdown lockdown
, ,
e e
vacinas vacina
, ,
usando usar
o o
mesmo mesmo
argumento argumento
da de_o
ausência ausência
de de
estudos estudo
comprobatórios comprobatório
, ,
também também
é ser
crime crime
! !
Ciência ciência
? ?
clown_face_e clown_face_e
