Quem quem
realmente realmente
precisa precisar
de de
vacina vacina
são ser
as o
pessoas pessoa
do de_o
grupo grupo
de de
risco risco
, ,
pois pois
entre entre
jovens jovem
saudáveis saudável
o o
índice índice
de de
letalidade letalidade
é ser
próximo próximo
de de
zero zero
, ,
no em_o
entanto entanto
, ,
algumas algum
vacinas vacina
não não
apresentam apresentar
um um
bom bom
índice índice
de de
imunização imunização
justamente justamente
entre entre
as o
pessoas pessoa
deste de_este
grupo grupo
, ,
as o
quais qual
continuarão continuar
adoecendo adoecer
! !
