Suzana suzana
Vieira vieira
tomou tomar
a o
1a 1a
. .
em em
03 @card@
/ /
21 21
e e
o o
reforço reforço
há haver
alguns algum
meses mês
e e
contraiu contrair
a o
doença doença
em em
22 22
. .
Foi ser
internada internar
no em_o
dia dia
05 @card@
/ /
08 @card@
/ /
22 22
para para
tratar tratar
sequelas sequela
. .
Um um
estudo estudo
publicado publicar
em em
Israel israel
indica indicar
que que
os o
não não
vacinados vacinar
que que
contraíram contrair
a o
moléstia moléstia
não não
desenvolveram desenvolver
problemas problema
cardiorrespiratórios cardiorrespiratório
. .
https://t.co/f5D7FP8Kd3 https://t.co/f5d7fp8kd3
