@alyssanilsen twitterhandle
Como como
estão estar
as o
coisas coisa
aí aí
, ,
Alyssa alyssa
, ,
pós pós
vacinação vacinação
? ?
Quais qual
tipos tipo
de de
efeitos efeito
colaterais colateral
tem ter
aparecido aparecer
por por
aí aí
? ?
Aqui aqui
, ,
no em_o
Brasil brasil
: :
AVC avc
, ,
Ataque ataque
cardíaco cardíaco
, ,
paralisia paralisia
facial facial
, ,
motes mote
, ,
muitas muito
tromboses trombose
, ,
miocardites miocardite
, ,
problema problema
nos em_o
rins rim
, ,
queda queda
de de
cabelo cabelo
, ,
dores dor
de de
cabeça cabeça
. .
. .
. .
São ser
tantos tanto
. .
. .
. .
