Marcelo marcelo
Teodoro teodoro
tinha ter
21 21
anos ano
, ,
era ser
amado amar
pela por_o
família família
. .
Amigos amigo
confirmaram confirmar
q q
ele ele
havia haver
tomado tomar
o o
experimento experimento
. .
Faleceu falecer
de de
infarto infarto
fulminante fulminante
numa em_um
partida partida
de de
Paintball paintball
. .
A o
Anvisa anvisa
e e
a o
OMS oms
já já
publicaram publicar
alertas alerta
sobre sobre
o o
risco risco
de de
problemas problema
cardíacos cardíaco
em em
até até
9 9
meses mês
após após
as o
doses dose
. .
Segue seguir
. .
. .
. .
https://t.co/JAORJcfsWf https://t.co/jaorjcfswf
