Maria maria
Júlia júlia
, ,
19 19
anos ano
, ,
era ser
uma um
linda lindo
jovem jovem
. .
Ela ela
teve ter
que que
se se
submeter submeter
ao a_o
experimento experimento
, ,
pois pois
a o
cidade cidade
era ser
rigorosa rigoroso
c c
/ /
as o
doses dose
. .
Várias várias
pesquisas pesquisa
indicam indicar
a o
relação relação
entre entre
a o
#vacina #vacina
e e
a o
#Hepatite #hepatite
de de
células célula
T t
CD8 cd8
( (
infecciosa infeccioso
) )
. .
Fonte fonte
da de_o
pesquisa pesquisa
científica científico
: :
sciencedirect sciencedirect
. .
com com
/ /
science science
/ /
articl articl
… …
https://t.co/9NxVDIDydy https://t.co/9nxvdidydy
