PARA para
SALVAR salvar
VIDAS vida
. .
. .
. .
MEDIDAS medida
QUE que
PROTEGEM proteger
1 1
) )
Vacinação vacinação
2 2
) )
Distanciamento distanciamento
social social
3 3
) )
Máscara máscara
4 4
) )
Lavar lavar
mãos mão
5 5
) )
Sol sol
, ,
Vit vit
D d
e e
Zinco zincar
MEDIDAS medida
QUE que
CURAM curar
1 1
) )
Tratamento tratamento
PRECOCE precoce
com com
Hidroxicloroquina hidroxicloroquina
, ,
Ivermectina ivermectina
, ,
Azitromicina azitromicina
, ,
Zinco zinco
, ,
Vit vit
. .
D d
e e
C c
2 2
) )
Tratamento tratamento
individualizado individualizar
pra pra
cada cada
fase fase
