Com com
apenas apenas
15 15
anos ano
, ,
Aline aline
tomou tomar
a o
2ª 2ª
dose dose
, ,
e e
1 1
mês mês
depois depois
começou começar
a a
sentir sentir
dores dor
nos em_o
pés pé
e e
pernas perna
, ,
até até
que que
um um
dia dia
não não
tinha ter
forças força
nas em_o
pernas perna
nem nem
para para
ficar ficar
em em
pé pé
! !
Buscou buscar
ajuda ajuda
, ,
foi ser
internada internar
e e
passou passar
27 27
dias dia
internada internado
, ,
sendo ser
10 10
dias dia
na em_o
UTI uti
. .
https://t.co/z141JoxbVX https://t.co/z141joxbvx
