@SigaGazetaBR twitterhandle
Vacinados vacinar
continuam continuar
com com
risco risco
de de
adoecer adoecer
e e
transmitir transmitir
o o
vírus vírus
; ;
As o
estatísticas estatística
mostram mostrar
uma um
preocupante preocupante
incidência incidência
de de
internação internação
e e
óbitos óbito
entre entre
vacinados vacinar
; ;
Recuperados recuperar
da de_o
doença doença
têm ter
imunidade imunidade
natural natural
melhor bom
do de_o
que que
vacinados vacinar
; ;
Sob sob
nenhuma nenhum
ótica ótica
esse esse
passaporte passaporte
vacinal vacinal
faz fazer
sentido sentido
! !
