36yo 36yo
with with
Bells bells
Palsy palsy
, ,
left left
arm arm
tingling tingling
/ /
numbness numbness
/ /
weakness weakness
following following
mRNA mrna
vaccination vaccination
: :
pubmed pubmed
. .
ncbi ncbi
. .
nlm nlm
. .
nih nih
. .
gov gov
/ /
34336436 @card@
/ /
32yoF 32yof
with with
Bells bells
Palsy palsy
following following
Pfizer pfizer
: :
pubmed pubmed
. .
ncbi ncbi
. .
nlm nlm
. .
nih nih
. .
gov gov
/ /
35759681 @card@
/ /
37yoM 37yom
with with
Bells bells
Palsy palsy
after after
Pfizer pfizer
: :
pubmed pubmed
. .
ncbi ncbi
. .
nlm nlm
. .
nih nih
. .
gov gov
/ /
33611630 @card@
/ /
