Vamos ir
nos nós
vacinar vacinar
ainda ainda
é ser
uma um
das de_o
fotos foto
do de_o
perfil perfil
d d
Miltinho miltinho
Guerra guerra
, ,
um um
jovem jovem
q q
trabalhava trabalhar
em em
empresas empresa
de de
ônibus ônibus
. .
Ele ele
tomou tomar
a o
1a 1a
. .
dose dose
em em
07 @card@
/ /
21 21
e e
o o
reforço reforço
há haver
poucas pouco
semanas semana
. .
Teve ter
um um
infarto infarto
fulminante fulminante
em em
06 @card@
/ /
08 @card@
/ /
22 22
. .
A o
OMS oms
reconheceu reconhecer
os o
riscos risco
d d
problemas problema
cardíacos cardíaco
pós-experimento pós-experimento
https://t.co/MNiFcVTpnM https://t.co/mnifcvtpnm
