Vagner vagner
Vallim vallim
, ,
55 55
anos ano
, ,
era ser
um um
grande grande
jornalista jornalista
q q
faleceu falecer
de de
um um
infarto infarto
fulminante fulminante
. .
Se se
submeteu submeter
ao a_o
experimento experimento
, ,
pois pois
a o
Globo globo
exige exigir
o o
passaporte passaporte
em em
dia dia
. .
A o
Anvisa anvisa
e e
a o
OMS oms
emitiram emitir
alertas alerta
de de
q q
o o
experimento experimento
pode poder
provocar provocar
problemas problema
cardíacos cardíaco
, ,
mesmo mesmo
depois depois
de de
meses mês
após após
as o
doses dose
. .
. .
. .
https://t.co/nc3OCG4T7n https://t.co/nc3ocg4t7n
