Você você
acreditou acreditar
que que
o o
lockdown lockdown
achataria achataria
a o
curva curva
, ,
que que
as o
máscaras máscara
e e
o o
distanciamento distanciamento
social social
impediriam impedir
o o
contágio contágio
, ,
que que
o o
tratamento tratamento
precoce precoce
era ser
perigoso perigoso
, ,
que que
as o
vacinas vacina
eram ser
eficazes eficaz
e e
seguras seguro
, ,
e e
em em
tantas tanto
teorias teoria
que que
não não
se se
efetivaram efetivar
, ,
e e
ainda ainda
assim assim
não não
percebe perceber
que que
está estar
errado errar
? ?
