Crianças criança
e e
Adolescentes adolescente
sofrendo sofrer
infartos infarto
Fulminantes fulminante
pouco pouco
tempo tempo
depois depois
dos de_o
reforços reforço
. .
. .
. .
As o
pessoas pessoa
não não
querem querer
admitir admitir
a o
verdade verdade
. .
Poucos pouco
jovens jovem
faleceram falecer
da de_o
moléstia moléstia
, ,
muitos muito
jovens jovem
falecendo falecer
de de
infartos infarto
fulminantes fulminante
após após
as o
doses dose
. .
Despertem despertar
! !
ISSO isso
NUNCA nunca
FOI ser
NORMAL normal
! !
https://t.co/e68plYhO98 https://t.co/e68plyho98
