Fontes fonte
: :
Pesquisa pesquisa
publicada publicar
na em_o
Revista revista
cientifica cientificar
Virology virology
indicando indicar
que que
a o
eficácia eficácia
é ser
negativa negativo
após após
reforços reforço
: :
virologyj virologyj
. .
biomedcentral biomedcentral
. .
com com
/ /
articles articles
/ /
10 10
. .
11 11
… …
Reportagem reportagem
onde onde
familiares familiar
afiemam afiemam
que que
ele ele
tomou tomar
4 4
doses dose
e e
mesmo mesmo
assim assim
contraiu contrair
diversas diversos
vezes vez
: :
m m
. .
facebook facebook
. .
com com
/ /
story story
. .
php php
? ?
stor stor
… …
