Já já
temos ter
centenas centena
de de
estudos estudo
que que
comprovam comprovar
a o
eficácia eficácia
do de_o
tratamento tratamento
precoce precoce
, ,
evidências evidência
suficientes suficiente
quanto quanto
aos a_o
riscos risco
das de_o
vacinas vacina
experimentais experimental
, ,
e e
estudos estudo
que que
desmontam desmontar
a o
tese tese
da de_o
transmissão transmissão
por por
assintomáticos assintomático
. .
Qual qual
a o
razão razão
para para
insistirem insistir
em em
máscaras máscara
, ,
lockdown lockdown
, ,
e e
vacina vacina
? ?
