Vacinado vacinar
com com
as o
4 4
doses dose
, ,
Eric eric
Gustavo gustavo
, ,
32 32
anos ano
, ,
contraiu contrair
CV cv
! !
D d
diversas diversos
vezes vez
, ,
segundo segundo
familiares familiar
. .
Estava estar
d d
alta alta
hospitalar hospitalar
do de_o
último último
CVD cvd
há haver
uma um
semana semana
, ,
quando quando
sofreu sofrer
uma um
parada parada
cardíaca cardíaco
enquanto enquanto
dormia dormir
. .
Pesquisas pesquisa
indicam indicar
que que
a o
eficácia eficácia
do de_o
experimento experimento
é ser
negativa negativo
após após
reforços reforço
. .
. .
. .
https://t.co/OXOrxlyu8A https://t.co/oxorxlyu8a
