China china
Malaquias malaquias
era ser
professor professor
de de
Educação educação
Física física
muito muito
querido querer
por por
todos todo
. .
Tomou tomar
a o
1a 1a
. .
Dose dose
em em
06 @card@
/ /
21 21
, ,
afirmando afirmar
que que
seria ser
a o
1a 1a
. .
das de_o
QUATRO quatro
. .
Tomou tomar
a o
4a 4a
. .
em em
2022 @card@
. .
Faleceu falecer
de de
um um
infarto infarto
fulminante fulminante
. .
A o
Anvisa anvisa
já já
alertou alertar
sobre sobre
o o
risco risco
de de
problemas problema
cardíacos cardíaco
pós-experimento pós-experimento
. .
Fontes fonte
: :
https://t.co/q626hDm6df https://t.co/q626hdm6df
