@revistaoeste twitterhandle
As o
vacinas vacina
foram ser
aprovadas aprovar
em em
caráter caráter
emergencial emergencial
, ,
sem sem
os o
devidos devido
estudos estudo
de de
eficácia eficácia
e e
segurança segurança
a a
longo longo
prazo prazo
, ,
sob sob
a o
justificativa justificativa
da de_o
taxa taxa
de de
letalidade letalidade
entre entre
os o
mais mais
velhos velho
. .
As o
estatísticas estatística
não não
dão dar
margem margem
para para
justificar justificar
o o
uso uso
emergencial emergencial
em em
jovens jovem
saudáveis saudável
! !
