Flávio flávio
Rodrigues rodrigues
era ser
integrante integrante
da de_o
banda banda
Medida medida
Provisória provisória
. .
Era ser
um um
entusiasta entusiasta
do de_o
experimento experimento
e e
sempre sempre
postava postar
suas seu
doses dose
. .
Tomou tomar
o o
reforço reforço
em em
07 @card@
/ /
07 @card@
/ /
22 22
e e
faleceu falecer
dia dia
29 29
/ /
07 @card@
d d
infarto infarto
fulminante fulminante
. .
A o
Anvisa anvisa
publicou publicar
um um
alerta alerta
sobre sobre
o o
risco risco
de de
Miocardite miocardite
, ,
e e
problemas problema
cardíacos cardíaco
. .
Segue seguir
. .
. .
. .
https://t.co/WNJnCJJCDS https://t.co/wnjncjjcds
