Hoje hoje
conheci conhecer
uma um
senhora senhora
de de
80 80
anos ano
no em_o
velório velório
da de_o
filha filha
de de
uma um
amiga amiga
que que
morreu morrer
após após
complicações complicação
nos em_o
rins rim
e e
pele pele
pós pós
vacina vacina
, ,
que que
renovou renovar
meu meu
espírito espírito
. .
Explico explicar
: :
Ela ela
veio vir
conversar conversar
comigo com_eu
sobre sobre
as o
vacinas vacina
. .
. .
. .
O o
filho filho
dela de_ela
tomou tomar
as o
3 3
doses dose
e e
teve ter
3 3
AVCs avcs
, ,
está estar
paralisado paralisar
( (
+ +
) )
backhand_index_pointing_down_e backhand_index_pointing_down_e
