@RodRohenkohl twitterhandle
Há haver
uma um
guerra guerra
fantasiosa fantasioso
entre entre
tratamento tratamento
precoce precoce
e e
vacina vacina
como como
se se
estas este
pertencessem pertencer
a a
grupos grupo
políticos político
, ,
e e
com com
isso isso
deixam deixar
de de
questionar questionar
a o
real real
necessidade necessidade
e e
o o
custo custo
x x
benefício benefício
de de
vacinar vacinar
toda todo
a o
população população
, ,
incluindo incluir
grupos grupo
em em
que que
o o
índice índice
de de
letalidade letalidade
beira beirar
o o
zero zero
. .
