AGORA agora
- -
o o
CDC cdc
acaba acabar
de de
lançar lançar
sua seu
atualização atualização
de de
miocardite miocardite
/ /
pericardite pericardite
. .
O o
risco risco
pós-segunda pós-segundo
dose dose
de de
vacinas vacina
de de
mRNA mrna
COVID-19 covid-19
em em
pessoas pessoa
com com
menos menos
de de
25 25
anos ano
pode poder
ser ser
mais mais
de de
200 200
vezes vezes
a a
taxa taxa
de de
referência referência
( (
não não
contabilizando contabilizar
subnotificação subnotificação
) )
. .
twitter twitter
. .
com com
/ /
AlexBerenson alexberenson
/ /
s s
… …
