Marcelo marcelo
Muller muller
sempre sempre
foi ser
saudável saudável
até até
se se
submeter submeter
ao a_o
experimento experimento
. .
2 2
dias dia
após após
dose dose
ele ele
começou começar
a a
apresentar apresentar
sintomas sintoma
e e
, ,
depois depois
, ,
não não
conseguia conseguir
andar andar
. .
Foi ser
diagnosticado diagnosticar
c c
/ /
Mielite mielite
Transversa transverso
e e
veio vir
à a_o
óbito óbito
em em
fev fev
/ /
2022 @card@
. .
A o
própria próprio
Bula bula
indica indicar
q q
a a
Mielite mielite
Transversa transverso
é ser
uma um
reacao reacao
. .
https://t.co/8IpggDwV3Q https://t.co/8ipggdwv3q
