@OsmarTerra twitterhandle
Tudo tudo
é ser
uma um
questão questão
de de
custo custo
x x
benefício benefício
, ,
e e
não não
faz fazer
sentido sentido
a a
aplicação aplicação
de de
vacinas vacina
experimentais experimental
em em
alguém alguém
cuja cujo
a o
própria próprio
doença doença
tem ter
índice índice
de de
letalidade letalidade
abaixo abaixo
0 0
, ,
1 1
% %
, ,
ainda ainda
mais mais
se se
tratando tratar
de de
uma um
tecnologia tecnologia
nova novo
, ,
sem sem
estudos estudo
suficientes suficiente
sobre sobre
segurança segurança
a a
longo longo
prazo prazo
. .
. .
. .
