Jorge jorge
Balbino balbino
Júnior júnior
, ,
jogador jogador
de de
futebol futebol
faleceu falecer
aos a_o
30 30
anos ano
. .
Foi ser
obrigado obrigar
a a
se se
submeter submeter
ao a_o
experimento experimento
, ,
pois pois
a o
CBF cbf
exige exigir
o o
comprovante comprovante
. .
Durante durante
anos ano
jogou jogar
e e
nunca nunca
apresentou apresentar
problemas problema
cardíacos cardíaco
e e
depois depois
das de_o
doses dose
morre morrer
de de
infarto infarto
. .
Fonte fonte
: :
m m
. .
facebook facebook
. .
com com
/ /
story story
. .
php php
? ?
stor stor
… …
https://t.co/wNtqukELRN https://t.co/wntqukelrn
