Relato relato
em em
anonimato anonimato
: :
Homem homem
, ,
57 57
anos ano
, ,
sem sem
problemas problema
de de
saúde saúde
, ,
óbito óbito
por por
Doença doença
de de
Creutzfeldt-Jakob creutzfeldt-jakob
. .
3 3
dias dia
após após
a o
3ª 3ª
dose dose
, ,
pegou pegar
Covid covid
leve leve
. .
2 2
meses mês
depois depois
começou começar
a a
sentir sentir
tontura tontura
, ,
falta falta
de de
equilíbrio equilíbrio
. .
Sintomas sintoma
evoluíram evoluir
desde desde
falta falta
de de
concentração concentração
e e
lapsos lapso
de de
memória memória
. .
. .
. .
https://t.co/sxyjQZAmwa https://t.co/sxyjqzamwa
