Jussara jussara
, ,
29 29
anos ano
, ,
recebeu receber
a o
1ª 1ª
dose dose
em em
campanha campanha
para para
os o
professores professor
da de_o
cidade cidade
onde onde
mora morar
. .
Depois depois
de de
1 1
semana semana
, ,
sentiu sentir
dores dor
de de
cabeça cabeça
semelhantes semelhante
à a_o
sinusite sinusite
. .
Consultou consultar
otorrino otorrino
e e
não não
era ser
. .
Consultou consultar
um um
neurologista neurologista
, ,
que que
a ela
encaminhou encaminhar
para para
exames exame
. .
No no
mesma mesmo
noite noite
, ,
sofreu sofrer
3 3
convulsões convulsão
. .
https://t.co/1s396nyz0E https://t.co/1s396nyz0e
