@revistaoeste twitterhandle
Quais qual
as o
chances chance
de de
ocorrerem ocorrer
mais muito
efeitos efeito
colaterais colateral
similares similar
( (
ou ou
até até
piores mau
) )
a a
médio médio
e e
longo longo
prazo prazo
? ?
E e
como como
confiar confiar
que que
a o
China china
seria ser
transparente transparente
e e
divulgaria divulgar
esse esse
tipo tipo
de de
ocorrência ocorrência
como como
o o
Reino reino
Unido unido
fez fazer
? ?
Sigo seguir
achando achar
que que
a o
vacina vacina
traz trazer
mais muito
risco risco
que que
o o
próprio próprio
vírus vírus
! !
