Aviso aviso
da de_o
Pfizer pfizer
: :
A o
trombose trombose
venosa venoso
profunda profundo
, ,
um um
coágulo coágulo
de de
sangue sangue
em em
uma um
veia veia
, ,
pode poder
se se
deslocar deslocar
para para
os o
pulmões pulmão
, ,
levando levar
a o
uma um
embolia embolia
pulmonar pulmonar
. .
Os o
sintomas sintoma
da de_o
EP ep
incluem incluir
dificuldade dificuldade
para para
respirar respirar
e e
dor dor
no em_o
peito peito
. .
. .
. .
Canalhas canalha
! !
! !
! !
Mil mil
vezes vez
canalhas canalha
! !
! !
! !
! !
! !
twitter twitter
. .
com com
/ /
pfizer pfizer
/ /
status status
/ /
… …
