Se se
a o
vacina vacina
possui possuir
mal mal
e e
porcamente porcamente
50 50
% %
de de
eficácia eficácia
, ,
mesmo mesmo
vacinando vacinar
toda todo
a o
população população
não não
sairemos sair
da de_o
pandemia pandemia
. .
Continuo continuar
achando achar
que que
o o
protocolo protocolo
de de
tratamento tratamento
precoce precoce
é ser
a o
melhor bom
solução solução
para para
permitir permitir
a o
volta volta
da de_o
vida vida
normal normal
, ,
com com
liberdade liberdade
de de
ir ir
e e
vir vir
! !
