Para para
aprovar aprovar
a o
aplicação aplicação
das de_o
vacinas vacina
na em_o
população população
se se
basearam basear
em em
estudos estudo
que que
garantiam garantir
a o
eficácia eficácia
e e
a o
segurança segurança
, ,
e e
agora agora
que que
os o
vacinados vacinar
são ser
maioria maioria
absoluta absoluto
nos em_o
hospitais hospital
eles eles
admitem admitir
que que
os o
estudos estudo
estavam estar
errados errar
. .
E e
mesmo mesmo
assim assim
continuam continuar
aplicando aplicar
as o
vacinas vacina
? ?
