DENÚNCIA denúncia
4 4
: :
" "
Conflitos conflito
de de
interesses- interesses-
participação participação
indevida indevido
de de
Sociedades sociedade
Médicas médico
financiadas financiar
direta direto
ou ou
indiretamente indiretamente
pelas por_o
fabricantes fabricante
das de_o
vacinas vacina
nas em_o
decisões decisão
da de_o
Agência agência
Reguladora regulador
ANVISA anvisa
" "
Vejam ver
vários vários
dos de_o
" "
especialistas especialista
" "
da de_o
mídia mídia
nesta em_este
lista lista
! !
! !
https://t.co/zofk0diJ2F https://t.co/zofk0dij2f
