@AiltonBenedito twitterhandle
Se se
a o
vacina vacina
tem ter
apenas apenas
a o
função função
de de
melhorar melhorar
a o
resposta resposta
do de_o
organismo organismo
à a_o
infecção infecção
, ,
então então
ela ela
só só
faz fazer
sentido sentido
para para
as o
pessoas pessoa
do de_o
grupo grupo
de de
risco risco
, ,
portanto portanto
, ,
não não
faz fazer
sentido sentido
vacinar vacinar
pessoas pessoa
dos de_o
grupos grupo
em em
que que
o o
índice índice
de de
letalidade letalidade
é ser
próximo próximo
de de
zero zero
, ,
quanto quanto
mais mais
tornar tornar
isso isso
obrigatório obrigatório
. .
https://t.co/LjTmxNI4e4 https://t.co/ljtmxni4e4
