Quanto quanto
mais muito
doses dose
, ,
maior grande
o o
risco risco
! !
Fenômeno fenômeno
ADE adir
( (
condição condição
que que
intensifica intensificar
a o
doença doença
) )
, ,
destruição destruição
do de_o
sistema sistema
imunológico imunológico
inato inato
, ,
além além
de de
todos todo
eventos evento
adversos adverso
! !
Até até
a o
EMA ema
está estar
começando começar
a a
reconhecer reconhecer
isso isso
, ,
enquanto enquanto
especialistas especialista
mundiais mundial
iminentes iminente
estão estar
alertando alertar
há há
meses mês
! !
twitter twitter
. .
com com
/ /
Louan07 louan07
/ /
status status
… …
