Meu meu
Deus deus
! !
Trombose trombose
em em
vias via
pulmonares pulmonar
em em
uma um
criança criança
de de
8 8
ANOS ano
! !
Lembrem lembrar
-se se
das de_o
pesquisas pesquisa
científicas científico
da de_o
própria próprio
OMS oms
que que
apontam apontar
o o
risco risco
de de
trombose trombose
após após
as o
#vacinas #vacina
. .
Pesquisa pesquisa
OMS oms
: :
pesquisa pesquisa
. .
bvsalud bvsalud
. .
org org
/ /
global-literat global-literat
… …
Reações reação
aparecem aparecer
após após
5 5
meses mês
: :
stevekirsch stevekirsch
. .
substack substack
. .
com com
/ /
p p
/ /
this-one-gra this-one-gra
… …
https://t.co/mUuyss5d7e https://t.co/muuyss5d7e
