Homem homem
de de
40 40
anos ano
em em
Ontário ontário
, ,
que que
recebeu receber
a o
primeira primeiro
dose dose
da de_o
Astrazeneca astrazeneca
no em_o
final final
de de
Abril abril
, ,
morre morrer
semanas semana
depois depois
. .
backhand_index_pointing_down_eEMOJI_backhand_index_pointing_down_eEMOJI_backhand_index_pointing_down_e backhand_index_pointing_down_eemoji_backhand_index_pointing_down_eemoji_backhand_index_pointing_down_e
theguardian theguardian
. .
com com
/ /
commentisfree commentisfree
/ /
… …
theguardian theguardian
. .
com com
/ /
world world
/ /
2021 @card@
/ /
may may
… …
https://t.co/Jpg9FegUfg https://t.co/jpg9fegufg
