Ana ana
Clara clara
residia residir
em em
Goiânia goiânia
e e
faleceu falecer
de de
problemas problema
cardíacos cardíaco
hoje hoje
. .
O o
JV jv
apurou apurar
q q
ela ela
tomou tomar
2 2
doses dose
, ,
a o
última último
em em
junho junho
. .
Estudos estudo
indicam indicar
q q
as o
reações reação
como como
AVCs avcs
e e
problemas problema
cardíacos cardíaco
demoram demorar
, ,
em em
geral geral
, ,
5 5
meses mês
para para
ocorrer ocorrer
. .
Fontes fonte
: :
m m
. .
facebook facebook
. .
com com
/ /
story story
. .
php php
? ?
stor stor
… …
stevekirsch stevekirsch
. .
substack substack
. .
com com
/ /
p p
/ /
this-one-gra this-one-gra
… …
https://t.co/Upb0hy6Uu4 https://t.co/upb0hy6uu4
