Depois depois
de de
Pesquisas pesquisa
publicadas publicar
pela por_o
Lancet lancet
apontarem apontar
problemas problema
cardíacos cardíaco
a a
longo longo
prazo prazo
em em
pessoas pessoa
que que
se se
submeteram submeter
ao a_o
experimento experimento
, ,
o o
CDC cdc
resolve resolver
agir agir
e e
investigar investigar
as o
reações reação
a a
longo longo
prazo prazo
( (
Infartos infarto
e e
AVCs avcs
ocorridos ocorrer
5 5
meses mês
após após
as o
doses dose
) )
. .
Fonte fonte
: :
cdc cdc
. .
gov gov
/ /
coronavirus coronavirus
/ /
20 20
… …
https://t.co/bddn48RRTY https://t.co/bddn48rrty
