Edu edu
do de_o
Povo povo
tomou tomar
sua seu
1a 1a
. .
Dose dose
no em_o
dia dia
30 30
/ /
06 @card@
e e
3 3
dias dia
depois depois
postou postar
que que
teve ter
reação reação
depois depois
do de_o
experimento experimento
. .
Mesmo mesmo
assim assim
, ,
ele ele
continuou continuar
tomando tomar
os o
reforços reforço
e e
faleceu falecer
de de
um um
mal mal
súbito súbito
em em
08 @card@
/ /
09 @card@
/ /
22 22
. .
A o
Anvisa anvisa
já já
alertou alertar
sobre sobre
o o
risco risco
de de
Miocardite miocardite
e e
AVCs avcs
pós-experimento pós-experimento
. .
Segue seguir
fontes fonte
. .
. .
. .
https://t.co/aQEipi5a14 https://t.co/aqeipi5a14
