@ContinueFiel twitterhandle
Doutora doutora
, ,
preciso preciso
da de_o
sua seu
ajuda ajuda
Uma um
amiga amiga
tomou tomar
a o
vacina vacina
da de_o
Pfizer pfizer
e e
o o
corpo corpo
ficou ficar
irreconhecível irreconhecível
. .
Ela ela
está estar
na em_o
cor cor
vinho vinho
e e
cheia cheio
de de
bolinhas bola
e e
inchada inchar
dos de_o
pés pé
à a_o
cabeça cabeça
Os o
médicos médico
dizem dizer
q q
é é
d d
um um
remédio remédio
q q
ela ela
tomava tomar
por por
causa causa
de de
umas um
convulsões convulsão
+ +
é ser
mentira mentira
eles eles
ñ ñ
querem querer
admitir admitir
. .
. .
