50yoM 50yom
with with
Bells bells
Palsy palsy
after after
Pfizer pfizer
, ,
ongoing ongoing
symptoms symptoms
after after
21 21
days days
: :
pubmed pubmed
. .
ncbi ncbi
. .
nlm nlm
. .
nih nih
. .
gov gov
/ /
34330676 @card@
/ /
57yoF 57yof
with with
Bells bells
Palsy palsy
< <
; ;
36 36
hours hours
after after
2nd 2nd
dose dose
of of
Pfizer pfizer
: :
pubmed pubmed
. .
ncbi ncbi
. .
nlm nlm
. .
nih nih
. .
gov gov
/ /
33594349 @card@
/ /
61yoM 61yom
with with
Bells bells
Palsy palsy
after after
each each
dose dose
of of
Pfizer pfizer
: :
pubmed pubmed
. .
ncbi ncbi
. .
nlm nlm
. .
nih nih
. .
gov gov
/ /
34281950 @card@
/ /
