Tratamento tratamento
precoce precoce
com com
remédios remédio
utilizados utilizar
há há
décadas década
e e
baixo baixo
risco risco
de de
efeitos efeito
colaterais colateral
- -
não não
pode poder
. .
. .
. .
não não
tem ter
estudos estudo
científicos científico
suficientes suficiente
; ;
Vacina vacina
com com
baixo baixo
índice índice
de de
eficácia eficácia
e e
testes teste
insuficientes insuficiente
- -
não não
devemos dever
ser ser
tão tão
científicos científico
nesse em_esse
momento momento
; ;
Tá estar
bom bom
. .
. .
. .
vai ir
lá lá
sabichão sábio
! !
