Você você
pode poder
até até
questionar questionar
a o
eficácia eficácia
do de_o
tratamento tratamento
precoce precoce
, ,
assim assim
como como
muitos muito
questionam questionar
a o
eficácia eficácia
das de_o
vacinas vacina
, ,
mas mas
são ser
remédios remédio
com com
os o
estudos estudo
completos completar
sobre sobre
segurança segurança
e e
potenciais potencial
efeitos efeito
adversos adverso
, ,
já já
as o
vacinas vacina
foram ser
aprovadas aprovar
em em
caráter caráter
emergencial emergencial
! !
