Se se
quem quem
toma tomar
3 3
doses dose
da de_o
vacina vacina
, ,
usa usar
máscara máscara
, ,
álcool álcool
gel gel
, ,
segue segar
todas todo
as o
medidas medida
de de
distanciamento distanciamento
social social
, ,
ainda ainda
assim assim
pega pegar
covid covid
, ,
resta restar
evidenciado evidenciar
que que
tais tal
medidas medida
não não
impedem impedir
a o
infecção infecção
e e
a o
transmissão transmissão
do de_o
vírus vírus
, ,
portanto portanto
, ,
são ser
inúteis inútil
e e
não não
deveriam dever
ser ser
obrigatórias obrigatório
! !
