Bril bril
et et
al al
. .
faz fazer
o o
estudo estudo
de de
caso caso
de de
mulher mulher
saudável saudável
de de
35 35
anos ano
que que
desenvolveu desenvolver
hepatite hepatite
autoimune autoimune
1 1
semana semana
depois depois
da de_o
syringe_e syringe_e
. .
" "
Anticorpos anticorpo
induzidos induzir
pela por_o
vacina vacina
podem poder
ser ser
gatilhos gatilho
para para
doenças doença
autoimunes autoimune
em em
indivíduos indivíduo
com com
pré-disposição pré-disposição
" "
https://t.co/o1HY1QwKKS https://t.co/o1hy1qwkks
