O o
estudo estudo
Aldén aldén
et et
al al
. .
em em
células célula
de de
fígado fígado
in in
vitro vitro
, ,
a a
Spike spike
expressa expressar
na em_o
superfície superfície
das de_o
células célula
do de_o
fígado fígado
indica indicar
que que
podem poder
ser ser
alvo alvo
do de_o
sistema sistema
imunológico imunológico
e e
possivelmente possivelmente
causar causar
hepatite hepatite
autoimune autoimune
. .
" "
Houve haver
relatos relato
de de
casos caso
hepatite hepatite
autoimune autoimune
após após
BNT162b2 bnt162b2
vacinação vacinação
. .
https://t.co/A4Jap0Q5Zt https://t.co/a4jap0q5zt
