Márcio márcio
Costa costa
era ser
um um
patriota patriota
. .
Tomou tomar
a o
1a 1a
. .
dose dose
em em
2021 @card@
e e
os o
reforços reforço
há há
3 3
meses mês
. .
Teve ter
um um
AVC avc
em em
16 16
/ /
07 @card@
e e
faleceu falecer
nesta em_este
semana semana
. .
A o
OMS oms
já já
reconheceu reconhecer
que que
o o
AVC avc
pode poder
acontecer acontecer
alguns algum
meses mês
após após
o o
experimento experimento
. .
Fontes fonte
: :
pesquisa pesquisa
. .
bvsalud bvsalud
. .
org org
/ /
global-literat global-literat
… …
m m
. .
facebook facebook
. .
com com
/ /
story story
. .
php php
? ?
stor stor
… …
https://t.co/VMXmval90f https://t.co/vmxmval90f
