@jdoriajr twitterhandle
Vida vida
normal normal
com com
uma um
vacina vacina
que que
não não
garante garantir
imunidade imunidade
e e
uma um
campanha campanha
que que
recomenda recomendar
todo todo
mundo mundo
a a
continuar continuar
usando usar
máscaras máscara
e e
fazendo fazer
isolamento isolamento
social social
depois depois
de de
duas dois
doses dose
? ?
Explica explicar
aí aí
que que
normal normal
é ser
esse esse
, ,
ou ou
se se
esta este
será ser
sua seu
nova novo
concepção concepção
de de
normal normal
imposta imposto
ao a_o
povo povo
? ?
