@GabrielaPrioli twitterhandle
Um um
remédio remédio
que que
está estar
no em_o
mercado mercado
há há
décadas década
e e
tem ter
seus seu
efeitos efeito
colaterais colateral
bem bem
conhecidos conhecido
, ,
mas mas
não não
pode poder
ser ser
usado usar
por por
não não
ter ter
estudos estudo
científicos científico
suficientes suficiente
. .
Vacina vacina
nova novo
, ,
pulando pular
etapas etapa
e e
sem sem
conhecer conhecer
a a
fundo fundo
os o
efeitos efeito
colaterais colateral
, ,
pode poder
? ?
Quem quem
é ser
a o
piada piada
? ?
