Se se
em em
quase quase
2 2
anos ano
17 17
% %
da de_o
população população
catarinense catarinense
contraiu contrair
o o
vírus vírus
e e
o o
índice índice
de de
letalidade letalidade
entre entre
jovens jovem
é ser
de de
0 0
, ,
04 @card@
% %
, ,
o o
risco risco
de de
morte morte
pela por_o
doença doença
é ser
menor pequeno
que que
0 0
, ,
01 @card@
% %
. .
Dados dado
do de_o
FDA fda
apontam apontar
que que
0 0
, ,
04 @card@
% %
dos de_o
jovens jovem
vacinados vacinar
apresentam apresentar
algum algum
tipo tipo
de de
reação reação
adversa adverso
grave grave
( (
efeito efeito
colateral colateral
) )
